Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-03-07,296500,330500,59000,6891800,2200,31410201,5780600,417700,1142200,15600,6392600,591100,3655200,1415400,7270800,568400
2007-03-08,344800,261400,53200,7433400,11100,30964599,5260900,359500,2567600,30600,4745600,495100,2524100,822100,6604400,409800
2007-03-09,309900,261700,46400,7846900,7300,25418901,6861600,195100,2794500,23500,3692100,370100,3409500,783600,6755200,112200
2007-03-12,224200,143700,35700,6285400,23500,19938399,5114900,321100,1730200,56200,3060000,235000,3550200,674500,10136000,212400
2007-03-13,344300,248600,52900,13374700,15200,41912601,5763800,888600,4852200,38100,6420700,270800,3764400,1133600,7700200,335400
2007-03-14,468700,179100,47000,21999700,94400,45442299,9255300,1362500,3461200,127500,6744700,365500,6837800,1393200,13008100,486000
2007-03-15,201400,165300,23000,7757300,7400,29466999,4191700,432800,2206900,39700,3898600,250800,2442200,1215700,5006000,222600
2007-03-16,204100,242300,15200,7679600,4200,22130301,4657300,960200,1384100,32100,2636100,262900,2546200,546700,4792300,311600
2007-03-19,159600,147800,21500,6631100,3600,23926701,6259300,436700,2382300,33500,3036200,226100,1247100,767100,5303500,213200
2007-03-20,446200,217900,41300,7246500,5100,14906001,4475600,197300,3175800,45900,5042700,465100,1667500,1234600,5775800,119000
2007-03-21,257600,156200,88100,9652600,22400,41382000,6491400,389100,3114000,124400,5717900,352400,4637200,800200,8583800,597600
2007-03-22,211700,252300,63100,6350200,35100,21536001,4093800,773800,1815600,46900,4432600,423600,2509400,1324300,4372700,399600
2007-03-23,226200,189000,63000,5196700,20300,16675401,5356900,778400,940200,120100,4211200,446000,1200800,1087600,4424700,280000
2007-03-26,442800,179200,64900,7864500,28400,20837199,4589700,551300,1620500,38500,3464900,224900,2847400,707400,4973300,139200
2007-03-27,275200,215700,22100,7608000,37700,17888301,4625200,258200,1478800,9100,2665700,379800,2292800,970000,4198200,201400
2007-03-28,217600,261300,23500,13038700,10800,21297000,7245200,310600,1378100,61400,2551600,607900,1413800,895500,6639600,436200
2007-03-29,223000,343700,13700,8936400,1300,22159200,6195500,273900,1616600,315700,4275300,136500,2623900,906100,7010100,243400
2007-03-30,434700,171000,47100,9742700,6200,28322499,7687100,456300,2325400,174700,2814000,500700,1885200,926200,6876600,391000
2007-04-02,469100,296700,29600,6061300,14500,18709599,6158500,575500,5737000,177300,2526900,179700,4144600,900600,7037000,132400
2007-04-03,390600,370600,37900,7256500,5700,24322500,5317300,1350600,2017700,184600,2678300,136000,3729600,754600,4849900,320400
2007-04-04,181400,122000,31400,4610500,11800,20397900,7804700,444900,1927300,38600,11398000,3524100,2061000,1065000,6562000,561800
2007-04-05,262500,219100,24600,3885600,11000,15471501,3046600,569700,786000,110200,4234700,516400,1159600,475300,2436100,366400
2007-04-09,323900,301000,64900,3314700,13400,16002399,4083000,316800,1525600,147400,3594000,767000,1539300,439500,5884100,217000
2007-04-10,314700,231300,30000,5526200,3500,14115900,5033800,1080700,1616600,96900,2381900,463900,1516900,658800,4765200,427000
2007-04-11,339100,340600,19800,9125400,2800,26724900,6528000,2011900,3710700,168400,3861700,1146800,2031000,1292000,8141000,817200
2007-04-12,274100,100300,16400,5911000,3100,22482600,5988000,2151300,2819200,57200,4652300,643500,1974900,989100,6606000,198800
2007-04-13,291500,230500,23300,5546400,4000,11635401,3704600,498400,978200,34200,3168200,289000,1666900,684600,4800500,488600
2007-04-16,391100,161000,29800,7779100,5000,20076300,7232500,785500,2287500,28000,2841400,313000,2445800,906200,5450400,239400
2007-04-17,368200,196900,37300,7645100,6100,25999401,19673400,947700,2649300,73600,3993100,191500,2596500,1132800,6136400,415000
2007-04-18,159800,173400,18800,9129000,1100,15603000,5790300,1955600,1642200,54500,2574000,1559600,1929700,951900,6352600,461200
2007-04-19,223500,271500,33500,8375000,8600,25869399,6385800,651300,3237300,113900,3302000,209200,2612000,798900,6281300,198200
2007-04-20,162000,199400,26300,9712000,7000,15397299,6126200,867300,2475700,80600,3505700,247900,1813800,537800,4269600,510800
2007-04-23,409600,252700,22500,7146400,4800,14381700,6244500,1157100,2260200,38900,5250500,245900,1382400,468100,4843600,690800
2007-04-24,227500,204700,29200,10420900,2100,18474501,6224900,588300,2151100,93400,6249300,289900,2522800,1066300,5735900,399000
2007-04-25,401800,207000,37600,11177400,7400,16926399,6455700,489100,1649000,229300,2846800,178300,2324500,991400,6714500,206400
2007-04-26,251800,635300,50600,7978400,17300,19640199,9551000,632700,1782300,153700,4628300,233200,3124400,632200,6116800,231800
2007-04-27,160400,116900,19100,6994700,9700,23158899,3453500,767700,784300,133600,4081500,169000,6300200,849200,6983600,173800
2007-04-30,298000,172200,42300,8948500,10800,24503601,6029000,581400,2259200,16300,3110700,232500,2355100,836400,7138400,250800
2007-05-01,677200,177400,15700,16226200,7000,26882001,4876800,1009300,831700,90200,3697100,189000,2917000,855500,5960300,260400
2007-05-02,254500,303600,50800,8830600,11200,25169400,6357200,853800,1502900,58400,4426100,197700,3313500,758300,6605300,243400
2007-05-03,267000,210300,31300,8004000,12600,14639001,4569800,913600,923500,52700,4346400,148300,1987400,1201900,5884700,336400
2007-05-04,233700,166800,13900,10368100,2700,15515901,5552800,783400,1192400,2541000,3640400,268500,3199000,846900,4227900,299800
2007-05-07,301400,225700,40100,9767000,5400,9784701,4642500,575200,1467000,813500,3693100,350500,2141000,934300,4794400,265800
2007-05-08,290500,188900,23300,8467100,4700,27006600,8819000,1312300,1326800,347400,3928700,446200,2872500,761500,8195200,507000
