,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-02-07,5.41667e-01,5.00000e-01,2.91667e-01,3.33333e-01,4.16667e-01,4.16667e-01,3.75000e-01,4.16667e-01,3.75000e-01,5.00000e-01,5.41667e-01,5.00000e-01,2.50000e-01,4.16667e-01,2.91667e-01,4.58333e-01
2007-02-08,5.20000e-01,5.20000e-01,2.80000e-01,3.20000e-01,4.40000e-01,4.40000e-01,3.60000e-01,4.00000e-01,4.00000e-01,4.80000e-01,5.60000e-01,4.80000e-01,2.40000e-01,4.40000e-01,3.20000e-01,4.40000e-01
2007-02-09,5.00000e-01,5.00000e-01,3.07692e-01,3.46154e-01,4.61538e-01,4.61538e-01,3.84615e-01,3.84615e-01,3.84615e-01,5.00000e-01,5.76923e-01,5.00000e-01,2.30769e-01,4.61538e-01,3.07692e-01,4.23077e-01
2007-02-12,5.18519e-01,4.81481e-01,3.33333e-01,3.70370e-01,4.44444e-01,4.81481e-01,4.07407e-01,4.07407e-01,4.07407e-01,5.18519e-01,5.92593e-01,5.18519e-01,2.59259e-01,4.81481e-01,3.33333e-01,4.44444e-01
2007-02-13,5.35714e-01,5.00000e-01,3.21429e-01,3.92857e-01,4.28571e-01,5.00000e-01,4.28571e-01,4.28571e-01,3.92857e-01,5.35714e-01,6.07143e-01,5.35714e-01,2.85714e-01,5.00000e-01,3.57143e-01,4.64286e-01
2007-02-14,5.51724e-01,4.82759e-01,3.10345e-01,3.79310e-01,4.13793e-01,4.82759e-01,4.13793e-01,4.13793e-01,4.13793e-01,5.17241e-01,6.20690e-01,5.17241e-01,2.75862e-01,4.82759e-01,3.44828e-01,4.48276e-01
2007-02-15,5.33333e-01,5.00000e-01,3.00000e-01,3.66667e-01,4.00000e-01,4.66667e-01,4.00000e-01,4.00000e-01,4.00000e-01,5.00000e-01,6.00000e-01,5.00000e-01,2.66667e-01,4.66667e-01,3.33333e-01,4.33333e-01
2007-02-16,5.16129e-01,5.16129e-01,2.90323e-01,3.54839e-01,3.87097e-01,4.51613e-01,3.87097e-01,3.87097e-01,3.87097e-01,5.16129e-01,5.80645e-01,5.16129e-01,2.90323e-01,4.51613e-01,3.22581e-01,4.19355e-01
2007-02-20,5.00000e-01,5.00000e-01,3.12500e-01,3.75000e-01,4.06250e-01,4.37500e-01,4.06250e-01,4.06250e-01,4.06250e-01,5.00000e-01,5.62500e-01,5.31250e-01,3.12500e-01,4.37500e-01,3.12500e-01,4.37500e-01
2007-02-21,4.84848e-01,5.15152e-01,3.03030e-01,3.63636e-01,3.93939e-01,4.24242e-01,3.93939e-01,3.93939e-01,3.93939e-01,5.15152e-01,5.75758e-01,5.15152e-01,3.03030e-01,4.24242e-01,3.03030e-01,4.24242e-01
2007-02-22,5.00000e-01,5.00000e-01,3.23529e-01,3.82353e-01,4.11765e-01,4.11765e-01,4.11765e-01,4.11765e-01,4.11765e-01,5.29412e-01,5.58824e-01,5.29412e-01,2.94118e-01,4.11765e-01,2.94118e-01,4.41176e-01
2007-02-23,5.14286e-01,4.85714e-01,3.14286e-01,4.00000e-01,4.28571e-01,4.28571e-01,4.00000e-01,4.00000e-01,4.00000e-01,5.14286e-01,5.42857e-01,5.14286e-01,3.14286e-01,4.00000e-01,2.85714e-01,4.28571e-01
2007-02-26,5.00000e-01,4.72222e-01,3.05556e-01,4.16667e-01,4.16667e-01,4.44444e-01,3.88889e-01,3.88889e-01,4.16667e-01,5.27778e-01,5.55556e-01,5.00000e-01,3.33333e-01,4.16667e-01,3.05556e-01,4.16667e-01
2007-02-27,4.86486e-01,4.59459e-01,2.97297e-01,4.32432e-01,4.05405e-01,4.59459e-01,3.78378e-01,3.78378e-01,4.32432e-01,5.13514e-01,5.67568e-01,4.86486e-01,3.51351e-01,4.32432e-01,2.97297e-01,4.05405e-01
2007-02-28,4.73684e-01,4.73684e-01,3.15789e-01,4.47368e-01,4.21053e-01,4.73684e-01,3.94737e-01,3.94737e-01,4.47368e-01,5.26316e-01,5.78947e-01,5.00000e-01,3.68421e-01,4.47368e-01,3.15789e-01,4.21053e-01
2007-03-01,4.87179e-01,4.61538e-01,3.07692e-01,4.35897e-01,4.35897e-01,4.61538e-01,3.84615e-01,3.84615e-01,4.35897e-01,5.12821e-01,5.64103e-01,4.87179e-01,3.58974e-01,4.35897e-01,3.07692e-01,4.10256e-01
2007-03-02,5.00000e-01,4.75000e-01,3.25000e-01,4.50000e-01,4.50000e-01,4.75000e-01,4.00000e-01,4.00000e-01,4.50000e-01,5.25000e-01,5.75000e-01,5.00000e-01,3.75000e-01,4.50000e-01,3.25000e-01,4.25000e-01
2007-03-05,4.87805e-01,4.87805e-01,3.41463e-01,4.63415e-01,4.63415e-01,4.87805e-01,4.14634e-01,4.14634e-01,4.63415e-01,5.36585e-01,5.85366e-01,5.12195e-01,3.90244e-01,4.63415e-01,3.41463e-01,4.39024e-01
2007-03-06,5.00000e-01,5.00000e-01,3.57143e-01,4.76190e-01,4.76190e-01,5.00000e-01,4.28571e-01,4.28571e-01,4.76190e-01,5.47619e-01,5.95238e-01,5.23810e-01,4.04762e-01,4.76190e-01,3.57143e-01,4.52381e-01
2007-03-07,5.11628e-01,4.88372e-01,3.48837e-01,4.65116e-01,4.65116e-01,4.88372e-01,4.18605e-01,4.18605e-01,4.65116e-01,5.34884e-01,5.81395e-01,5.11628e-01,3.95349e-01,4.65116e-01,3.48837e-01,4.41860e-01
2007-03-08,5.00000e-01,4.77273e-01,3.40909e-01,4.77273e-01,4.77273e-01,5.00000e-01,4.09091e-01,4.09091e-01,4.77273e-01,5.45455e-01,5.90909e-01,5.00000e-01,4.09091e-01,4.77273e-01,3.63636e-01,4.54545e-01
2007-03-09,5.11111e-01,4.66667e-01,3.33333e-01,4.66667e-01,4.66667e-01,4.88889e-01,4.00000e-01,4.00000e-01,4.66667e-01,5.33333e-01,5.77778e-01,4.88889e-01,4.00000e-01,4.66667e-01,3.55556e-01,4.44444e-01
2007-03-12,5.21739e-01,4.78261e-01,3.26087e-01,4.56522e-01,4.78261e-01,4.78261e-01,3.91304e-01,4.13043e-01,4.56522e-01,5.43478e-01,5.86957e-01,4.78261e-01,3.91304e-01,4.78261e-01,3.47826e-01,4.34783e-01
2007-03-13,5.10638e-01,4.89362e-01,3.19149e-01,4.46809e-01,4.68085e-01,4.68085e-01,3.82979e-01,4.04255e-01,4.46809e-01,5.31915e-01,5.74468e-01,4.89362e-01,3.82979e-01,4.68085e-01,3.40426e-01,4.25532e-01
2007-03-14,5.00000e-01,5.00000e-01,3.33333e-01,4.58333e-01,4.79167e-01,4.79167e-01,3.95833e-01,4.16667e-01,4.58333e-01,5.41667e-01,5.83333e-01,5.00000e-01,3.95833e-01,4.79167e-01,3.54167e-01,4.37500e-01
2007-03-15,5.10204e-01,4.89796e-01,3.26531e-01,4.48980e-01,4.89796e-01,4.69388e-01,3.87755e-01,4.08163e-01,4.48980e-01,5.30612e-01,5.71429e-01,5.10204e-01,3.87755e-01,4.69388e-01,3.46939e-01,4.28571e-01
2007-03-16,5.20000e-01,5.00000e-01,3.20000e-01,4.40000e-01,4.80000e-01,4.60000e-01,3.80000e-01,4.00000e-01,4.60000e-01,5.20000e-01,5.60000e-01,5.00000e-01,3.80000e-01,4.60000e-01,3.40000e-01,4.20000e-01
2007-03-19,5.09804e-01,4.90196e-01,3.13725e-01,4.50980e-01,4.90196e-01,4.70588e-01,3.72549e-01,3.92157e-01,4.70588e-01,5.09804e-01,5.68627e-01,4.90196e-01,3.92157e-01,4.70588e-01,3.52941e-01,4.11765e-01
2007-03-20,5.19231e-01,4.80769e-01,3.07692e-01,4.42308e-01,4.80769e-01,4.61538e-01,3.65385e-01,3.84615e-01,4.61538e-01,5.00000e-01,5.57692e-01,4.80769e-01,3.84615e-01,4.61538e-01,3.46154e-01,4.03846e-01
2007-03-21,5.09434e-01,4.71698e-01,3.01887e-01,4.33962e-01,4.71698e-01,4.52830e-01,3.58491e-01,3.77358e-01,4.52830e-01,4.90566e-01,5.47170e-01,4.71698e-01,3.77358e-01,4.52830e-01,3.39623e-01,3.96226e-01
2007-03-22,5.00000e-01,4.62963e-01,2.96296e-01,4.25926e-01,4.62963e-01,4.44444e-01,3.51852e-01,3.70370e-01,4.44444e-01,4.81481e-01,5.37037e-01,4.62963e-01,3.70370e-01,4.44444e-01,3.33333e-01,3.88889e-01
2007-03-23,5.09091e-01,4.54545e-01,3.09091e-01,4.18182e-01,4.54545e-01,4.54545e-01,3.63636e-01,3.63636e-01,4.54545e-01,4.90909e-01,5.45455e-01,4.72727e-01,3.63636e-01,4.54545e-01,3.45455e-01,4.00000e-01
2007-03-26,5.17857e-01,4.46429e-01,3.21429e-01,4.10714e-01,4.64286e-01,4.46429e-01,3.57143e-01,3.57143e-01,4.64286e-01,4.82143e-01,5.35714e-01,4.64286e-01,3.75000e-01,4.46429e-01,3.39286e-01,3.92857e-01
2007-03-27,5.26316e-01,4.38596e-01,3.15789e-01,4.21053e-01,4.73684e-01,4.56140e-01,3.50877e-01,3.68421e-01,4.56140e-01,4.91228e-01,5.43860e-01,4.56140e-01,3.85965e-01,4.56140e-01,3.33333e-01,3.85965e-01
2007-03-28,5.17241e-01,4.31034e-01,3.27586e-01,4.31034e-01,4.82759e-01,4.65517e-01,3.62069e-01,3.62069e-01,4.65517e-01,5.00000e-01,5.51724e-01,4.65517e-01,3.96552e-01,4.65517e-01,3.44828e-01,3.96552e-01
2007-03-29,5.08475e-01,4.23729e-01,3.38983e-01,4.40678e-01,4.91525e-01,4.74576e-01,3.72881e-01,3.72881e-01,4.74576e-01,5.08475e-01,5.59322e-01,4.74576e-01,4.06780e-01,4.74576e-01,3.55932e-01,4.06780e-01
2007-03-30,5.16667e-01,4.16667e-01,3.33333e-01,4.33333e-01,4.83333e-01,4.66667e-01,3.66667e-01,3.66667e-01,4.66667e-01,5.00000e-01,5.50000e-01,4.66667e-01,4.00000e-01,4.66667e-01,3.50000e-01,4.00000e-01
2007-04-02,5.24590e-01,4.26230e-01,3.27869e-01,4.26230e-01,4.91803e-01,4.75410e-01,3.60656e-01,3.60656e-01,4.75410e-01,4.91803e-01,5.40984e-01,4.59016e-01,4.09836e-01,4.75410e-01,3.60656e-01,3.93443e-01
2007-04-03,5.32258e-01,4.35484e-01,3.22581e-01,4.19355e-01,5.00000e-01,4.67742e-01,3.54839e-01,3.54839e-01,4.67742e-01,4.83871e-01,5.32258e-01,4.51613e-01,4.03226e-01,4.67742e-01,3.54839e-01,3.87097e-01
2007-04-04,5.39683e-01,4.44444e-01,3.17460e-01,4.12698e-01,4.92063e-01,4.60317e-01,3.49206e-01,3.49206e-01,4.60317e-01,4.76190e-01,5.23810e-01,4.44444e-01,3.96825e-01,4.60317e-01,3.49206e-01,3.80952e-01
2007-04-05,5.31250e-01,4.37500e-01,3.12500e-01,4.06250e-01,4.84375e-01,4.53125e-01,3.43750e-01,3.43750e-01,4.53125e-01,4.68750e-01,5.31250e-01,4.53125e-01,4.06250e-01,4.53125e-01,3.43750e-01,3.75000e-01
2007-04-06,5.23077e-01,4.30769e-01,3.07692e-01,4.00000e-01,4.92308e-01,4.46154e-01,3.38462e-01,3.38462e-01,4.46154e-01,4.61538e-01,5.23077e-01,4.46154e-01,4.15385e-01,4.46154e-01,3.38462e-01,3.69231e-01
2007-04-09,5.30303e-01,4.39394e-01,3.18182e-01,4.09091e-01,5.00000e-01,4.54545e-01,3.48485e-01,3.48485e-01,4.54545e-01,4.69697e-01,5.30303e-01,4.54545e-01,4.24242e-01,4.54545e-01,3.48485e-01,3.78788e-01
2007-04-10,5.37313e-01,4.47761e-01,3.13433e-01,4.02985e-01,4.92537e-01,4.47761e-01,3.58209e-01,3.58209e-01,4.47761e-01,4.77612e-01,5.22388e-01,4.62687e-01,4.17910e-01,4.47761e-01,3.43284e-01,3.88060e-01
